 * Running on http://0.0.0.0:8000/ (Press CTRL+C to quit)
127.0.0.1 - - [29/Mar/2018 10:59:48] "GET /api/books HTTP/1.1" 200 -
127.0.0.1 - - [29/Mar/2018 11:01:12] "GET /api/books HTTP/1.1" 200 -
127.0.0.1 - - [29/Mar/2018 11:03:25] "GET /api/books HTTP/1.1" 200 -
127.0.0.1 - - [29/Mar/2018 11:03:25] "GET /api/book/1 HTTP/1.1" 200 -
127.0.0.1 - - [29/Mar/2018 11:04:48] "GET /api/book/a HTTP/1.1" 404 -
127.0.0.1 - - [29/Mar/2018 11:05:04] "GET /api/book/99 HTTP/1.1" 200 -
127.0.0.1 - - [29/Mar/2018 11:05:34] "GET /api/book/a HTTP/1.1" 404 -
127.0.0.1 - - [29/Mar/2018 11:09:47] "GET /api/books HTTP/1.1" 200 -
127.0.0.1 - - [29/Mar/2018 11:09:47] "GET /api/book/1 HTTP/1.1" 200 -
127.0.0.1 - - [29/Mar/2018 11:09:47] "GET /api/book/a HTTP/1.1" 404 -
127.0.0.1 - - [29/Mar/2018 11:09:47] "GET /api/book/99 HTTP/1.1" 200 -
127.0.0.1 - - [29/Mar/2018 11:09:47] "GET /api/book/asdfasdfwerqweradsfadf HTTP/1.1" 404 -
127.0.0.1 - - [29/Mar/2018 11:09:47] "GET /api/book/asasdffd231 HTTP/1.1" 404 -
127.0.0.1 - - [29/Mar/2018 11:09:47] "GET /api/book/1 HTTP/1.1" 200 -
127.0.0.1 - - [29/Mar/2018 11:09:47] "GET /api/book/2 HTTP/1.1" 200 -
127.0.0.1 - - [29/Mar/2018 11:09:47] "GET /api/book/99 HTTP/1.1" 200 -
127.0.0.1 - - [29/Mar/2018 11:10:14] "GET /api/books HTTP/1.1" 200 -
127.0.0.1 - - [29/Mar/2018 11:10:14] "GET /api/book/1 HTTP/1.1" 200 -
127.0.0.1 - - [29/Mar/2018 11:10:14] "GET /api/book/a HTTP/1.1" 404 -
127.0.0.1 - - [29/Mar/2018 11:10:14] "GET /api/book/99 HTTP/1.1" 200 -
127.0.0.1 - - [29/Mar/2018 11:10:14] "GET /api/book/asdfasdfwerqweradsfadf HTTP/1.1" 404 -
127.0.0.1 - - [29/Mar/2018 11:10:14] "GET /api/book/asasdffd231 HTTP/1.1" 404 -
